# detectorID  stationID  componentID  detectorName  myPrimeIs  geantName  spacing  cellWidth  overlap   numElements  lowElementID  angleFromVert  xPrimeOffset  planeWidth  planeHeight  x0         y0        z0       theta_x       theta_y      theta_z        resolution 
          1          1            1  D1U                   2  C1U          0.635      0.635         0          201             1       0.244974         0.159       101.6       121.92     -0.803     3.019   594.49         -0.01      0.01389       -0.00124   0.0215151 
          2          1            1  D1Up                  0  C1U          0.635      0.635         0          201             1       0.244974        -0.159       101.6       121.92     -0.803     3.019  595.125         -0.01      0.01389       -0.00124   0.0211495 
          3          1            1  D1V                   4  C1V          0.635      0.635         0          201             1      -0.244974         0.159       101.6       121.92      0.649     2.666  637.169      -0.01025      0.00893       -0.00121   0.0208155 
          4          1            1  D1Vp                  0  C1V          0.635      0.635         0          201             1      -0.244974        -0.159       101.6       121.92      0.649     2.666  637.805      -0.01025      0.00893       -0.00121   0.0198085 
          5          1            1  D1X                   6  C1X          0.635      0.635         0          160             1              0        -0.159       101.6       121.92       -0.4     2.835  617.086      -0.01018      0.01021       -0.00119   0.0256112 
          6          1            1  D1Xp                  0  C1X          0.635      0.635         0          160             1              0         0.159       101.6       121.92       -0.4     2.835  617.721      -0.01018      0.01021       -0.00119   0.0261271 
          7          1            1  D1U                   2  C1U          0.635      0.635         0          201             1       0.244974         0.159       101.6       121.92     -0.803     3.019   594.49         -0.01      0.01389       -0.00124   0.0215151 
          8          1            1  D1Up                  0  C1U          0.635      0.635         0          201             1       0.244974        -0.159       101.6       121.92     -0.803     3.019  595.125         -0.01      0.01389       -0.00124   0.0211495 
          9          1            1  D1V                   4  C1V          0.635      0.635         0          201             1      -0.244974         0.159       101.6       121.92      0.649     2.666  637.169      -0.01025      0.00893       -0.00121   0.0208155 
         10          1            1  D1Vp                  0  C1V          0.635      0.635         0          201             1      -0.244974        -0.159       101.6       121.92      0.649     2.666  637.805      -0.01025      0.00893       -0.00121   0.0198085 
         11          1            1  D1X                   6  C1X          0.635      0.635         0          160             1              0        -0.159       101.6       121.92       -0.4     2.835  617.086      -0.01018      0.01021       -0.00119   0.0256112 
         12          1            1  D1Xp                  0  C1X          0.635      0.635         0          160             1              0         0.159       101.6       121.92       -0.4     2.835  617.721      -0.01018      0.01021       -0.00119   0.0261271 
         13          2            2  D2U                   8  C2U          2.021      2.021         0          128             1       0.244974        -0.505     233.274       264.16   -0.47329  -0.79493  1365.99     -0.001608    -0.002341       0.004881   0.0327621 
         14          2            2  D2Up                  0  C2U          2.021      2.021         0          128             1       0.244974         0.505     233.274       264.16   -0.47329  -0.79493  1372.98     -0.001608    -0.002341       0.004881   0.0320569 
         15          2            2  D2V                  10  C2V          2.021      2.021         0          128             1      -0.244974        -0.505     233.274       264.16     -2.449    -0.735  1314.98      0.000403     0.002301      -0.002945   0.0325086 
         16          2            2  D2Vp                  0  C2V          2.021      2.021         0          128             1      -0.244974         0.505     233.274       264.16     -2.449    -0.735  1321.96      0.000403     0.002301      -0.002945   0.0311933 
         17          2            2  D2X                  12  C2X          2.083      2.083         0          112             1              0         0.521     233.274       264.16     -0.819    -0.053  1347.34      0.002571     0.000674       0.002314   0.0333381 
         18          2            2  D2Xp                  0  C2X          2.083      2.083         0          112             1              0        -0.521     233.274       264.16     -0.819    -0.053  1340.36      0.002571     0.000674       0.002314   0.0333217 
         19          3            4  D3mU                 14  C3B              2          2         0          134             1      -0.244974           0.5         320          166     -2.682   -79.588  1900.71     -0.000176     0.002403      -0.000761   0.0243135 
         20          3            4  D3mUp                 0  C3B              2          2         0          134             1      -0.244974          -0.5         320          166     -2.682   -79.588  1898.71     -0.000176     0.002403      -0.000761   0.0238127 
         21          3            4  D3mV                 16  C3B              2          2         0          134             1       0.244974           0.5         320          166     -2.682   -79.588  1888.71     -0.000176     0.002403      -0.000761   0.0238388 
         22          3            4  D3mVp                 0  C3B              2          2         0          134             1       0.244974          -0.5         320          166     -2.682   -79.588  1886.71     -0.000176     0.002403      -0.000761   0.0239178 
         23          3            4  D3mX                 18  C3B              2          2         0          116             1              0           0.5         320          166     -2.682   -79.588  1894.71     -0.000176     0.002403      -0.000761   0.0259252 
         24          3            4  D3mXp                 0  C3B              2          2         0          116             1              0          -0.5         320          166     -2.682   -79.588  1892.71     -0.000176     0.002403      -0.000761   0.0259558 
         25          3            3  D3pU                 20  C3T              2          2         0          134             1      -0.244974          -0.5         320          166     -1.021    78.694   1937.3     -0.000703    -0.001714       0.000813   0.0230438 
         26          3            3  D3pUp                 0  C3T              2          2         0          134             1      -0.244974           0.5         320          166     -1.021    78.694   1935.3     -0.000703    -0.001714       0.000813   0.0232609 
         27          3            3  D3pV                 22  C3T              2          2         0          134             1       0.244974          -0.5         320          166     -1.021    78.694   1925.3     -0.000703    -0.001714       0.000813   0.0238237 
         28          3            3  D3pVp                 0  C3T              2          2         0          134             1       0.244974           0.5         320          166     -1.021    78.694   1923.3     -0.000703    -0.001714       0.000813   0.0238278 
         29          3            3  D3pX                 24  C3T              2          2         0          116             1              0          -0.5         320          166     -1.021    78.694   1931.3     -0.000703    -0.001714       0.000813   0.0250443 
         30          3            3  D3pXp                 0  C3T              2          2         0          116             1              0           0.5         320          166     -1.021    78.694   1929.3     -0.000703    -0.001714       0.000813   0.0247637 
	 31          1            0  H1B                   0  H1x         7.0025       7.32    0.3175           23             1              0             0     162.008        69.85   -0.55372   -35.085  666.681  -0.000980874   0.00249407    -0.00172438           0 
         32          1            0  H1T                   0  H1x         7.0025       7.32    0.3175           23             1              0             0     162.008        69.85   -0.55372    34.765  666.681  -0.000980874   0.00249407    -0.00172438           0 
         33          1            0  H1L                   0  H1y         7.0025       7.32    0.3175           20             1         1.5708             0       78.74      140.117    38.2194   0.09906  653.923   -0.00603185   0.00804247    -0.00105069           0 
         34          1            0  H1R                   0  H1y         7.0025       7.32    0.3175           20             1         1.5708             0       78.74      140.117   -40.5206   0.09906  653.923   -0.00603185   0.00804247    -0.00105069           0 
         35          2            0  H2L                   0  H2y        12.6825         13    0.3175           19             1         1.5708             0         132      241.285    64.4455   -0.4064  1404.93   -0.00107338   -0.0022794  -0.0000610865           0 
         36          2            0  H2R                   0  H2y        12.6825         13    0.3175           19             1         1.5708             0         132      241.285   -67.5545   -0.4064  1404.93   -0.00107338   -0.0022794  -0.0000610865           0 
	 37          2            0  H2B                   0  H2x        12.6825         13    0.3175           16             1              0             0     203.238          152   -1.16078  -76.0406  1421.11    0.00215548  -0.00460068     0.00293913           0 
         38          2            0  H2T                   0  H2x        12.6825         13    0.3175           16             1              0             0     203.238          152   -1.16078   75.9594  1421.11    0.00215548  -0.00460068     0.00293913           0 
	 39          3            0  H3B                   0  H3x          14.27    14.5875    0.3175           16             1              0             0     227.518       167.64    0.06096  -84.1908  1958.62       0.00334            0       -0.00053           0 
         40          3            0  H3T                   0  H3x          14.27    14.5875    0.3175           16             1              0             0     227.518       167.64    0.06096   83.4492  1958.62       0.00334            0       -0.00053           0 
         41          4            0  H4Y1L                 0  H4y1L        23.16    23.4775  0.317501           16             1         1.5708             0       152.4      365.797      66.04         0  2130.27             0            0              0           0
         42          4            0  H4Y1R                 0  H4y1R        23.16    23.4775  0.317501           16             1         1.5708             0       152.4      365.797     -66.04         0  2146.45             0            0              0           0 
         43          4            0  H4Y2L                 0  H4y2L        23.16    23.4775  0.317501           16             1         1.5708             0       152.4      365.797      66.04         0  2200.44             0            0              0           0 
         44          4            0  H4Y2R                 0  H4y2R        23.16    23.4775  0.317501           16             1         1.5708             0       152.4      365.797     -66.04         0  2216.62             0            0              0           0 
	 45          4            0  H4B                   0  H4xB         19.33    19.6475  0.317499           16             1              0             0     304.518       182.88   -0.28448  -92.0928  2251.09   -0.00673174   0.00240506    -0.00010821           0 
